Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
89,Entry long,2003-11-26,MacdLE,0.18,1,0.18,-0.01,-5.56,0.01,5.56,-0.01,-5.56,0.21,0.00
90,Exit short,2003-12-24,MacdLE,0.18,1,0.17,-0.01,-5.88,0.01,5.88,-0.01,-5.88,0.2,0.00
90,Entry short,2003-12-05,MacdSE,0.17,1,0.17,-0.01,-5.88,0.01,5.88,-0.01,-5.88,0.2,0.00
91,Exit long,2004-01-16,MacdSE,0.2,1,0.18,0.02,11.11,0.04,22.22,0,0.00,0.22,0.00
91,Entry long,2003-12-24,MacdLE,0.18,1,0.18,0.02,11.11,0.04,22.22,0,0.00,0.22,0.00
92,Exit short,2004-02-12,MacdLE,0.2,1,0.2,0,0.00,0.02,10.00,-0.01,-5.00,0.22,0.00
92,Entry short,2004-01-16,MacdSE,0.2,1,0.2,0,0.00,0.02,10.00,-0.01,-5.00,0.22,0.00
93,Exit long,2004-02-25,MacdSE,0.19,1,0.2,-0.01,-5.00,0,0.00,-0.02,-10.00,0.21,0.00
93,Entry long,2004-02-12,MacdLE,0.2,1,0.2,-0.01,-5.00,0,0.00,-0.02,-10.00,0.21,0.00
94,Exit short,2004-03-19,MacdLE,0.19,1,0.19,0,0.00,0.02,10.53,0,0.00,0.21,0.00
94,Entry short,2004-02-25,MacdSE,0.19,1,0.19,0,0.00,0.02,10.53,0,0.00,0.21,0.00
95,Exit long,2004-04-16,MacdSE,0.2,1,0.19,0.01,5.26,0.04,21.05,-0.01,-5.26,0.22,0.00
95,Entry long,2004-03-19,MacdLE,0.19,1,0.19,0.01,5.26,0.04,21.05,-0.01,-5.26,0.22,0.00
96,Exit short,2004-05-14,MacdLE,0.18,1,0.2,0.02,10.00,0.03,15.00,0,0.00,0.24,0.00
96,Entry short,2004-04-16,MacdSE,0.2,1,0.2,0.02,10.00,0.03,15.00,0,0.00,0.24,0.00
97,Exit long,2004-06-10,MacdSE,0.18,1,0.18,0,0.00,0.02,11.11,-0.01,-5.56,0.24,0.00
97,Entry long,2004-05-14,MacdLE,0.18,1,0.18,0,0.00,0.02,11.11,-0.01,-5.56,0.24,0.00
98,Exit short,2004-06-30,MacdLE,0.17,1,0.18,0.01,5.56,0.02,11.11,0,0.00,0.25,0.00
98,Entry short,2004-06-10,MacdSE,0.18,1,0.18,0.01,5.56,0.02,11.11,0,0.00,0.25,0.00
99,Exit long,2004-07-06,MacdSE,0.16,1,0.17,-0.01,-5.88,0,0.00,-0.01,-5.88,0.24,0.00
99,Entry long,2004-06-30,MacdLE,0.17,1,0.17,-0.01,-5.88,0,0.00,-0.01,-5.88,0.24,0.00
100,Exit short,2004-07-30,MacdLE,0.13,1,0.16,0.03,18.75,0.04,25.00,0,0.00,0.27,0.00
100,Entry short,2004-07-06,MacdSE,0.16,1,0.16,0.03,18.75,0.04,25.00,0,0.00,0.27,0.00
101,Exit long,2004-08-09,MacdSE,0.08,1,0.13,-0.05,-38.46,0,0.00,-0.05,-38.46,0.22,0.00
101,Entry long,2004-07-30,MacdLE,0.13,1,0.13,-0.05,-38.46,0,0.00,-0.05,-38.46,0.22,0.00
102,Exit short,2004-08-19,MacdLE,0.1,1,0.08,-0.02,-25.00,0,0.00,-0.02,-25.00,0.2,0.00
102,Entry short,2004-08-09,MacdSE,0.08,1,0.08,-0.02,-25.00,0,0.00,-0.02,-25.00,0.2,0.00
103,Exit long,2004-10-12,MacdSE,0.12,1,0.1,0.02,20.00,0.03,30.00,0,0.00,0.22,0.00
103,Entry long,2004-08-19,MacdLE,0.1,1,0.1,0.02,20.00,0.03,30.00,0,0.00,0.22,0.00
104,Exit short,2004-10-28,MacdLE,0.12,1,0.12,0,0.00,0.01,8.33,-0.01,-8.33,0.22,0.00
104,Entry short,2004-10-12,MacdSE,0.12,1,0.12,0,0.00,0.01,8.33,-0.01,-8.33,0.22,0.00
105,Exit long,2004-12-02,MacdSE,0.16,1,0.12,0.04,33.33,0.05,41.67,0,0.00,0.26,0.00
105,Entry long,2004-10-28,MacdLE,0.12,1,0.12,0.04,33.33,0.05,41.67,0,0.00,0.26,0.00
106,Exit short,2004-12-06,MacdLE,0.17,1,0.16,-0.01,-6.25,0,0.00,-0.02,-12.50,0.25,0.00
106,Entry short,2004-12-02,MacdSE,0.16,1,0.16,-0.01,-6.25,0,0.00,-0.02,-12.50,0.25,0.00
107,Exit long,2004-12-21,MacdSE,0.19,1,0.17,0.02,11.76,0.04,23.53,0,0.00,0.27,0.00
